agent,t,sigma,wager,m_over_b
0,0,1.0,1.0,1.0
0,1,0.9688763021878815,0.9782134115315169,0.9782134115315169
0,2,0.9087157473192192,0.9361010231234534,0.9361010231234534
0,3,0.8860951399463347,0.9202665979624343,0.9202665979624343
0,4,0.8734506707101971,0.9114154694971379,0.9114154694971379
0,5,0.8660464890810207,0.9062325423567144,0.9062325423567144
0,6,0.8697254223445868,0.9088077956412108,0.9088077956412108
0,7,0.8074567081875967,0.8652196957313176,0.8652196957313176
0,8,0.8198284145658913,0.8738798901961238,0.8738798901961238
0,9,0.8359748464478965,0.8851823925135276,0.8851823925135276
0,10,0.8392214985231432,0.8874550489662001,0.8874550489662001
0,11,0.8417978950672517,0.889258526547076,0.889258526547076
0,12,0.8584047873149461,0.9008833511204621,0.9008833511204621
0,13,0.8578409086474442,0.900488636053211,0.900488636053211
0,14,0.8510488537847191,0.8957341976493034,0.8957341976493034
0,15,0.8457224670117287,0.89200572690821,0.89200572690821
0,16,0.8511451761588644,0.8958016233112049,0.8958016233112049
0,17,0.8465461212435803,0.8925822848705061,0.8925822848705061
0,18,0.8491069358414483,0.8943748550890138,0.8943748550890138
0,19,0.8409328531453921,0.8886529972017745,0.8886529972017745
0,20,0.8449219502119599,0.8914453651483718,0.8914453651483718
0,21,0.844597347816921,0.8912181434718447,0.8912181434718447
0,22,0.7597775859775195,0.8318443101842636,0.8318443101842636
0,23,0.7588449962596305,0.8311914973817414,0.8311914973817414
0,24,0.7726635294982861,0.8408644706488002,0.8408644706488002
0,25,0.781863841350632,0.8473046889454423,0.8473046889454423
0,26,0.7939536441881068,0.8557675509316747,0.8557675509316747
0,27,0.7277813000304009,0.8094469100212807,0.8094469100212807
0,28,0.7479479824347346,0.8235635877043141,0.8235635877043141
0,29,0.7660994556162288,0.8362696189313601,0.8362696189313601
0,30,0.7817091413407581,0.8471963989385307,0.8471963989385307
0,31,0.7980275473813215,0.858619283166925,0.858619283166925
0,32,0.8044899732699037,0.8631429812889326,0.8631429812889326
0,33,0.8110783010521743,0.8677548107365218,0.8677548107365218
0,34,0.8224058534597932,0.8756840974218552,0.8756840974218552
0,35,0.8295353157276258,0.880674721009338,0.880674721009338
0,36,0.8212202578112077,0.8748541804678454,0.8748541804678454
0,37,0.831565335750744,0.8820957350255207,0.8820957350255207
0,38,0.8396596757944986,0.8877617730561489,0.8877617730561489
0,39,0.8346337571663451,0.8842436300164416,0.8842436300164416
0,40,0.8334003592298589,0.8833802514609013,0.8833802514609013
0,41,0.8390586662824465,0.8873410663977126,0.8873410663977126
0,42,0.8062292751703025,0.8643604926192117,0.8643604926192117
0,43,0.7849590207991665,0.8494713145594164,0.8494713145594164
0,44,0.7815856869818186,0.8471099808872731,0.8471099808872731
0,45,0.7894655898122762,0.8526259128685933,0.8526259128685933
0,46,0.7954709171129124,0.8568296419790387,0.8568296419790387
0,47,0.8035734082049226,0.8625013857434458,0.8625013857434458
0,48,0.814098053352006,0.8698686373464042,0.8698686373464042
0,49,0.8197701929954533,0.8738391350968173,0.8738391350968173
0,50,0.7872138513830609,0.8510496959681426,0.8510496959681426
0,51,0.7999279547136919,0.8599495682995844,0.8599495682995844
0,52,0.8078016180418003,0.86546113262926,0.86546113262926
0,53,0.8144185258660236,0.8700929681062164,0.8700929681062164
0,54,0.8359768952008919,0.8851838266406242,0.8851838266406242
0,55,0.8399986039256334,0.8879990227479433,0.8879990227479433
0,56,0.841654037488637,0.8891578262420459,0.8891578262420459
0,57,0.8377070343571654,0.8863949240500157,0.8863949240500157
0,58,0.8125248734542637,0.8687674114179846,0.8687674114179846
0,59,0.8146481082135362,0.8702536757494752,0.8702536757494752
0,60,0.6668591177569361,0.7668013824298552,0.7668013824298552
0,61,0.6848107001574288,0.7793674901102001,0.7793674901102001
0,62,0.7162863598478443,0.801400451893491,0.801400451893491
0,63,0.7442129817473665,0.8209490872231564,0.8209490872231564
0,64,0.7472500277733676,0.8230750194413572,0.8230750194413572
0,65,0.7644280058545977,0.8350996040982184,0.8350996040982184
0,66,0.7773565979169437,0.8441496185418604,0.8441496185418604
0,67,0.7865263897626933,0.8505684728338851,0.8505684728338851
0,68,0.7926575576524119,0.8548602903566882,0.8548602903566882
0,69,0.8064204768383613,0.8644943337868529,0.8644943337868529
0,70,0.8082363291546026,0.8657654304082218,0.8657654304082218
0,71,0.8146523589478681,0.8702566512635077,0.8702566512635077
0,72,0.8251956497563381,0.8776369548294367,0.8776369548294367
0,73,0.8441717392046203,0.8909202174432342,0.8909202174432342
0,74,0.838709528015601,0.8870966696109206,0.8870966696109206
0,75,0.834910701059984,0.8844374907419887,0.8844374907419887
0,76,0.8150733937998909,0.8705513756599235,0.8705513756599235
0,77,0.6917242163525632,0.7842069514467942,0.7842069514467942
0,78,0.6070612159577484,0.7249428511704239,0.7249428511704239
0,79,0.6504538069366547,0.7553176648556582,0.7553176648556582
0,80,0.6742791275149177,0.7719953892604423,0.7719953892604423
0,81,0.6649558927205458,0.765469124904382,0.765469124904382
0,82,0.6906033875965464,0.7834223713175824,0.7834223713175824
0,83,0.7229499699301642,0.806064978951115,0.806064978951115
0,84,0.7496081027378068,0.8247256719164646,0.8247256719164646
0,85,0.7675705009009764,0.8372993506306834,0.8372993506306834
0,86,0.783119193829735,0.8481834356808144,0.8481834356808144
0,87,0.7953411183542267,0.8567387828479587,0.8567387828479587
0,88,0.7939405641511282,0.8557583949057896,0.8557583949057896
0,89,0.8056684380021162,0.8639679066014814,0.8639679066014814
0,90,0.811553078778282,0.8680871551447973,0.8680871551447973
0,91,0.7489828075211072,0.824287965264775,0.824287965264775
0,92,0.7705800401870769,0.8394060281309539,0.8394060281309539
0,93,0.7893337725354506,0.8525336407748154,0.8525336407748154
0,94,0.7968110577880649,0.8577677404516455,0.8577677404516455
0,95,0.7808074233333816,0.8465651963333671,0.8465651963333671
0,96,0.7922271641019467,0.8545590148713627,0.8545590148713627
0,97,0.804842391796991,0.8633896742578937,0.8633896742578937
0,98,0.817894397306549,0.8725260781145843,0.8725260781145843
0,99,0.8317219748607181,0.8822053824025027,0.8822053824025027
0,100,0.7986391564173408,0.8590474094921385,0.8590474094921385
0,101,0.782474244931372,0.8477319714519602,0.8477319714519602
0,102,0.7816319502222994,0.8471423651556096,0.8471423651556096
0,103,0.7811452520386961,0.8468016764270871,0.8468016764270871
0,104,0.7913837243835624,0.8539686070684935,0.8539686070684935
0,105,0.7604610148291107,0.8323227103803774,0.8323227103803774
0,106,0.7670972104877303,0.8369680473414112,0.8369680473414112
0,107,0.7523674113490186,0.826657187944313,0.826657187944313
0,108,0.7705517129850339,0.8393861990895237,0.8393861990895237
0,109,0.7874302180191015,0.8512011526133709,0.8512011526133709
0,110,0.7925606304075271,0.854792441285269,0.854792441285269
0,111,0.794494638417787,0.8561462468924508,0.8561462468924508
0,112,0.8055569340023154,0.8638898538016206,0.8638898538016206
0,113,0.8148686185794847,0.8704080330056392,0.8704080330056392
0,114,0.8154307744543916,0.8708015421180741,0.8708015421180741
0,115,0.6942948271141774,0.7860063789799241,0.7860063789799241
0,116,0.7172153172610068,0.8020507220827047,0.8020507220827047
0,117,0.73140337796017,0.8119823645721189,0.8119823645721189
0,118,0.7378883837150815,0.8165218686005571,0.8165218686005571
0,119,0.6743861421793627,0.7720702995255538,0.7720702995255538
0,120,0.6976654972419651,0.7883658480693756,0.7883658480693756
0,121,0.6676775221403565,0.7673742654982495,0.7673742654982495
