forecaster,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4
0,0.1022,0.2490,0.5006,0.7520,0.9020
1,0.0964,0.2485,0.4987,0.7490,0.8990
2,0.1007,0.2528,0.5063,0.7558,0.8997
3,0.1011,0.2516,0.5022,0.7539,0.8988
4,0.1027,0.2480,0.5000,0.7514,0.9003
5,0.0989,0.2486,0.4994,0.7511,0.8990
