forecaster,tau_true,mean_loss_tail,mean_sigma_tail
0,0.15,0.023150802996813845,0.959311047688146
1,0.22,0.033416833058974124,0.9418826875688862
2,0.32,0.0474482385782824,0.9186689471723347
3,0.46,0.06555076763155508,0.8896578776326133
4,0.68,0.08882157073641506,0.8538454952996504
5,1.0,0.11211036722011308,0.8196566358110878
