forecaster,tau_true,mean_loss_tail,mean_sigma_tail
0,0.15,0.03333458784449116,0.8879376928922119
1,0.22,0.04819818536190851,0.8427378751800875
2,0.32,0.06852260693316739,0.7853418895731965
3,0.46,0.0951500653266833,0.7168760314003821
4,0.68,0.1301632877774946,0.6371960212685421
5,1.0,0.16640187541641469,0.5658452570433585
