scenario,mean_r_hat_shift,se_r_hat_shift,mean_agg_error,mean_attacker_profit,se_attacker_profit,n_seeds
baseline_truthful,0.0,0.0,0.2613411242024177,0.0,0.0,20
pull_0.3_target_0.9,0.05602207054911029,0.004478483812031015,0.25645526697247534,10.493740181046725,2.2904106108888747,20
pull_0.6_target_0.9,0.026555720427427387,0.0032037132647271056,0.2603493039761767,-9.810623885082174,0.06816861690305433,20
pull_1.0_target_0.9,0.011458314640169638,0.0010054041083925182,0.26158597613013723,-9.999999614670946,1.3038429947626056e-07,20
