round,budget_gap,min_payout_active
0,0.0,6.973680290593639
1,0.0,0.7974452522247553
2,0.0,2.4910276643471474
3,0.0,3.5228204095519926
4,0.0,0.9072302921851227
5,7.105427357601002e-15,0.6849863323178705
6,0.0,0.39842582416666283
7,0.0,0.7965672231126497
8,-1.1102230246251565e-16,0.9446666806151526
9,0.0,1.1166262405440268
10,0.0,0.08316571081629105
11,0.0,0.44663996713464743
12,1.7763568394002505e-15,0.26549316296266123
13,0.0,1.1028314598094697
14,3.552713678800501e-15,1.0660183316310816
15,0.0,0.7380084596606853
16,3.552713678800501e-15,0.6612478476489563
17,-1.7763568394002505e-15,0.47273159124679553
18,0.0,0.9281195374958735
19,0.0,4.265293796429468
20,-7.105427357601002e-15,2.3749092830655005
21,-3.552713678800501e-15,0.09331184986675999
22,8.881784197001252e-16,1.4935021109101776
23,-3.552713678800501e-15,0.7112972646271603
24,0.0,0.41301389206290157
25,0.0,1.8927254653716727
26,0.0,7.945438770228116
27,0.0,1.1267283654906906
28,0.0,4.313270201464496
29,-3.552713678800501e-15,0.06504185625644827
30,-1.7763568394002505e-15,0.09454546035635245
31,0.0,2.150350662744692
32,0.0,0.8614521514768623
33,-3.552713678800501e-15,1.1887357996244616
34,0.0,1.0335774945708838
35,0.0,1.379347077782347
36,0.0,0.2564689152032017
37,0.0,0.4079755219276019
38,3.552713678800501e-15,1.3477175150398593
39,0.0,0.6609879492841024
40,0.0,0.4745297001590507
41,0.0,1.6800084857787112
42,0.0,0.7946749259021411
43,0.0,1.7072083006270755
44,-8.881784197001252e-16,5.260605268860208
45,-3.552713678800501e-15,1.099196273351413
46,-3.552713678800501e-15,2.7549130116646126
47,0.0,4.0232547059522705
48,0.0,0.9282097787549627
49,1.7763568394002505e-15,0.4050626823527385
50,0.0,0.5087801241139671
51,3.552713678800501e-15,1.144426410547406
52,0.0,3.403578445418848
53,0.0,0.9380255182273676
54,-7.105427357601002e-15,1.2727199469755024
55,0.0,1.7546224657908782
56,0.0,0.6824249729121775
57,0.0,4.4851869855605955
58,-7.105427357601002e-15,0.9006239205201112
59,3.552713678800501e-15,0.13186521874763135
60,0.0,3.591766157749492
61,0.0,0.49555394526128155
62,7.105427357601002e-15,0.6970617120789667
63,0.0,0.0031574363664022293
64,-3.552713678800501e-15,8.602275804754326
65,0.0,2.13098970465633
66,0.0,0.05983629790579104
67,7.105427357601002e-15,0.12118922288144474
68,0.0,0.9783528422813681
69,0.0,1.0777105659098023
70,0.0,3.2560861761008884
71,0.0,1.0305477034762485
72,1.7763568394002505e-15,3.3416383720593053
73,0.0,3.0995909322520454
74,0.0,0.8826513300847464
75,3.552713678800501e-15,3.533243307929626
76,3.552713678800501e-15,0.3119660952287139
77,-7.105427357601002e-15,1.5615981101030953
78,7.105427357601002e-15,1.1344082535527023
79,0.0,1.7405877927921647
80,0.0,0.4979383971414223
81,-7.105427357601002e-15,2.0741418090133865
82,0.0,0.28243200683340863
83,0.0,5.445429059949655
84,0.0,0.38445150285278873
85,0.0,5.554289924999863
86,0.0,6.492233434806027
87,-3.552713678800501e-15,3.5988731208469815
88,0.0,0.3359339097487153
89,0.0,1.1056271603844727
90,-3.552713678800501e-15,3.8775459827125642
91,-7.105427357601002e-15,0.7937817847154074
92,0.0,1.867765399563627
93,0.0,1.212219867387552
94,-1.7763568394002505e-15,0.034241831127884995
95,0.0,0.5597831939026197
96,3.552713678800501e-15,0.7982931440404173
97,0.0,2.169844550162232
98,0.0,2.739260526652075
99,0.0,3.8050629241180842
100,3.552713678800501e-15,2.3273908499326112
101,0.0,1.126479558618715
102,0.0,1.4989590060183366
103,0.0,1.2109004016910627
104,-3.552713678800501e-15,1.9206642238209677
105,-7.105427357601002e-15,0.14429598157614992
106,0.0,1.4229381534648133
107,1.7763568394002505e-15,1.0623472826525395
108,0.0,0.766386614508815
109,7.105427357601002e-15,0.05161078949487345
110,7.105427357601002e-15,0.08230449498771121
111,3.552713678800501e-15,1.2606616247326425
112,0.0,0.12427911268717709
113,3.552713678800501e-15,0.10031303219460226
114,0.0,2.0098546508030526
115,7.105427357601002e-15,0.47730451055921863
116,0.0,0.012279457447418766
117,3.552713678800501e-15,3.6222809148510287
118,-1.7763568394002505e-15,0.005196453427711523
119,0.0,0.10301668081612098
120,0.0,9.258421788774506
121,0.0,0.9522285644556612
122,0.0,2.4523400270630455
123,-7.105427357601002e-15,0.9730675136030026
124,-3.552713678800501e-15,0.6537009478507166
125,7.105427357601002e-15,0.33106090706129265
126,0.0,0.9117876645215187
127,0.0,1.5718779213510128
128,0.0,0.2720444024185463
129,0.0,4.950795018786328
130,-1.7763568394002505e-15,4.128723814592032
131,-3.552713678800501e-15,1.870354363626743
132,0.0,4.844798423730284
133,7.105427357601002e-15,0.9924357842642922
134,0.0,0.33845771087393667
135,0.0,0.40566048859328935
136,0.0,0.7401855108684797
137,-3.552713678800501e-15,0.811377220070163
138,0.0,1.9357963040584254
139,0.0,1.2386772380599098
140,0.0,2.158323490284285
141,7.105427357601002e-15,0.9126952928311192
142,7.105427357601002e-15,0.6643149025886755
143,0.0,0.38166616919919527
144,0.0,0.25044430582266247
145,0.0,0.047289845228461566
146,0.0,7.302137351448739
147,0.0,6.915541471074186
148,-3.552713678800501e-15,0.9374608832732475
149,0.0,1.227025782822294
150,3.552713678800501e-15,0.6335461289854238
151,0.0,0.3701567962062345
152,0.0,4.209116994706155
