experiment,method,seed,DGP,preset,mean_crps,delta_crps_vs_equal,mean_HHI,mean_N_eff,final_gini
master_comparison,uniform,42,latent_fixed,exponential_deposits,0.05595451728121815,0.0,0.22587412602377835,4.747759438303501,nan
master_comparison,deposit,42,latent_fixed,exponential_deposits,0.059594219090669344,0.0036397018094511957,0.22587412602377835,4.747759438303501,nan
master_comparison,skill,42,latent_fixed,exponential_deposits,0.05440805055184727,-0.0015464667293708795,0.22587412602377835,4.747759438303501,nan
master_comparison,mechanism,42,latent_fixed,exponential_deposits,0.05688094147025332,0.0009264241890351715,0.22587412602377835,4.747759438303501,nan
master_comparison,best_single,42,latent_fixed,exponential_deposits,0.022601373554078836,-0.03335314372713931,0.22587412602377835,4.747759438303501,nan
master_comparison,uniform,43,latent_fixed,exponential_deposits,0.05408738909654321,0.0,0.22950811218690867,4.654634674173144,nan
master_comparison,deposit,43,latent_fixed,exponential_deposits,0.0571898343168082,0.003102445220264989,0.22950811218690867,4.654634674173144,nan
master_comparison,skill,43,latent_fixed,exponential_deposits,0.05268672166859036,-0.001400667427952848,0.22950811218690867,4.654634674173144,nan
master_comparison,mechanism,43,latent_fixed,exponential_deposits,0.054708460049050105,0.0006210709525068941,0.22950811218690867,4.654634674173144,nan
master_comparison,best_single,43,latent_fixed,exponential_deposits,0.023804903550124067,-0.030282485546419144,0.22950811218690867,4.654634674173144,nan
master_comparison,uniform,44,latent_fixed,exponential_deposits,0.05678787426356422,0.0,0.232335874677835,4.624869108155803,nan
master_comparison,deposit,44,latent_fixed,exponential_deposits,0.05794418949206171,0.0011563152284974898,0.232335874677835,4.624869108155803,nan
master_comparison,skill,44,latent_fixed,exponential_deposits,0.05528282154879368,-0.0015050527147705411,0.232335874677835,4.624869108155803,nan
master_comparison,mechanism,44,latent_fixed,exponential_deposits,0.055463949391024364,-0.001323924872539857,0.232335874677835,4.624869108155803,nan
master_comparison,best_single,44,latent_fixed,exponential_deposits,0.023106482865923036,-0.03368139139764119,0.232335874677835,4.624869108155803,nan
master_comparison,uniform,45,latent_fixed,exponential_deposits,0.055741689191697946,0.0,0.22578658208319943,4.757513524598638,nan
master_comparison,deposit,45,latent_fixed,exponential_deposits,0.05768236571842806,0.0019406765267301132,0.22578658208319943,4.757513524598638,nan
master_comparison,skill,45,latent_fixed,exponential_deposits,0.05425234979175983,-0.0014893393999381166,0.22578658208319943,4.757513524598638,nan
master_comparison,mechanism,45,latent_fixed,exponential_deposits,0.05518537395829192,-0.0005563152334060253,0.22578658208319943,4.757513524598638,nan
master_comparison,best_single,45,latent_fixed,exponential_deposits,0.02384685458820975,-0.0318948346034882,0.22578658208319943,4.757513524598638,nan
master_comparison,uniform,46,latent_fixed,exponential_deposits,0.055342264371377986,0.0,0.22885969644342474,4.735823650735937,nan
master_comparison,deposit,46,latent_fixed,exponential_deposits,0.0576260346264023,0.0022837702550243116,0.22885969644342474,4.735823650735937,nan
master_comparison,skill,46,latent_fixed,exponential_deposits,0.05374820941243121,-0.0015940549589467737,0.22885969644342474,4.735823650735937,nan
master_comparison,mechanism,46,latent_fixed,exponential_deposits,0.05498587929759175,-0.0003563850737862348,0.22885969644342474,4.735823650735937,nan
master_comparison,best_single,46,latent_fixed,exponential_deposits,0.021923178249048613,-0.03341908612232937,0.22885969644342474,4.735823650735937,nan
master_comparison,uniform,47,latent_fixed,exponential_deposits,0.05630576342359664,0.0,0.22440275739132987,4.732009288763577,nan
master_comparison,deposit,47,latent_fixed,exponential_deposits,0.05989513730390183,0.0035893738803051897,0.22440275739132987,4.732009288763577,nan
master_comparison,skill,47,latent_fixed,exponential_deposits,0.054739110076415354,-0.001566653347181285,0.22440275739132987,4.732009288763577,nan
master_comparison,mechanism,47,latent_fixed,exponential_deposits,0.057264350121971876,0.000958586698375237,0.22440275739132987,4.732009288763577,nan
master_comparison,best_single,47,latent_fixed,exponential_deposits,0.022234427556458287,-0.034071335867138355,0.22440275739132987,4.732009288763577,nan
master_comparison,uniform,48,latent_fixed,exponential_deposits,0.05492856688763419,0.0,0.2312947765982859,4.683789073176461,nan
master_comparison,deposit,48,latent_fixed,exponential_deposits,0.059680358907568946,0.004751792019934753,0.2312947765982859,4.683789073176461,nan
master_comparison,skill,48,latent_fixed,exponential_deposits,0.05338550078432469,-0.0015430661033095025,0.2312947765982859,4.683789073176461,nan
master_comparison,mechanism,48,latent_fixed,exponential_deposits,0.05708728874648184,0.002158721858847648,0.2312947765982859,4.683789073176461,nan
master_comparison,best_single,48,latent_fixed,exponential_deposits,0.023697923038395647,-0.031230643849238546,0.2312947765982859,4.683789073176461,nan
master_comparison,uniform,49,latent_fixed,exponential_deposits,0.05633863989184493,0.0,0.23176375181312028,4.687684342055926,nan
master_comparison,deposit,49,latent_fixed,exponential_deposits,0.061675929695577406,0.005337289803732478,0.23176375181312028,4.687684342055926,nan
master_comparison,skill,49,latent_fixed,exponential_deposits,0.05488036736174221,-0.0014582725301027152,0.23176375181312028,4.687684342055926,nan
master_comparison,mechanism,49,latent_fixed,exponential_deposits,0.05894438544459435,0.002605745552749422,0.23176375181312028,4.687684342055926,nan
master_comparison,best_single,49,latent_fixed,exponential_deposits,0.022775712216396668,-0.03356292767544826,0.23176375181312028,4.687684342055926,nan
master_comparison,uniform,50,latent_fixed,exponential_deposits,0.055966838411705806,0.0,0.2332121500248696,4.647227386276253,nan
master_comparison,deposit,50,latent_fixed,exponential_deposits,0.05950929908002074,0.0035424606683149354,0.2332121500248696,4.647227386276253,nan
master_comparison,skill,50,latent_fixed,exponential_deposits,0.05441463097418757,-0.0015522074375182368,0.2332121500248696,4.647227386276253,nan
master_comparison,mechanism,50,latent_fixed,exponential_deposits,0.05684364410006809,0.0008768056883622852,0.2332121500248696,4.647227386276253,nan
master_comparison,best_single,50,latent_fixed,exponential_deposits,0.024473660699419416,-0.031493177712286394,0.2332121500248696,4.647227386276253,nan
master_comparison,uniform,51,latent_fixed,exponential_deposits,0.05433476241934276,0.0,0.23040798699112572,4.708409811724038,nan
master_comparison,deposit,51,latent_fixed,exponential_deposits,0.056661282284005327,0.00232651986466257,0.23040798699112572,4.708409811724038,nan
master_comparison,skill,51,latent_fixed,exponential_deposits,0.05294941714638535,-0.0013853452729574098,0.23040798699112572,4.708409811724038,nan
master_comparison,mechanism,51,latent_fixed,exponential_deposits,0.054118159705887584,-0.00021660271345517318,0.23040798699112572,4.708409811724038,nan
master_comparison,best_single,51,latent_fixed,exponential_deposits,0.023181773829145432,-0.031152988590197325,0.23040798699112572,4.708409811724038,nan
master_comparison,uniform,52,latent_fixed,exponential_deposits,0.05495342093452882,0.0,0.2405914054732785,4.555778086096555,nan
master_comparison,deposit,52,latent_fixed,exponential_deposits,0.056838576463644076,0.001885155529115258,0.2405914054732785,4.555778086096555,nan
master_comparison,skill,52,latent_fixed,exponential_deposits,0.053460251338392446,-0.001493169596136372,0.2405914054732785,4.555778086096555,nan
master_comparison,mechanism,52,latent_fixed,exponential_deposits,0.0542612051214795,-0.0006922158130493183,0.2405914054732785,4.555778086096555,nan
master_comparison,best_single,52,latent_fixed,exponential_deposits,0.02363515386326748,-0.03131826707126134,0.2405914054732785,4.555778086096555,nan
master_comparison,uniform,53,latent_fixed,exponential_deposits,0.05427525308308658,0.0,0.2301002618137209,4.699178961728032,nan
master_comparison,deposit,53,latent_fixed,exponential_deposits,0.05560484700156271,0.0013295939184761255,0.2301002618137209,4.699178961728032,nan
master_comparison,skill,53,latent_fixed,exponential_deposits,0.052797215202314035,-0.0014780378807725467,0.2301002618137209,4.699178961728032,nan
master_comparison,mechanism,53,latent_fixed,exponential_deposits,0.053308684997415506,-0.0009665680856710754,0.2301002618137209,4.699178961728032,nan
master_comparison,best_single,53,latent_fixed,exponential_deposits,0.02372247829456988,-0.0305527747885167,0.2301002618137209,4.699178961728032,nan
master_comparison,uniform,54,latent_fixed,exponential_deposits,0.05420499731290731,0.0,0.22960043933859717,4.720722464028631,nan
master_comparison,deposit,54,latent_fixed,exponential_deposits,0.05643442317402595,0.002229425861118642,0.22960043933859717,4.720722464028631,nan
master_comparison,skill,54,latent_fixed,exponential_deposits,0.05274894863180311,-0.0014560486811042023,0.22960043933859717,4.720722464028631,nan
master_comparison,mechanism,54,latent_fixed,exponential_deposits,0.05386703868252399,-0.00033795863038332125,0.22960043933859717,4.720722464028631,nan
master_comparison,best_single,54,latent_fixed,exponential_deposits,0.02386439366097293,-0.03034060365193438,0.22960043933859717,4.720722464028631,nan
master_comparison,uniform,55,latent_fixed,exponential_deposits,0.05778559966697684,0.0,0.22593755222217102,4.814099877332204,nan
master_comparison,deposit,55,latent_fixed,exponential_deposits,0.057852159368632555,6.655970165571345e-05,0.22593755222217102,4.814099877332204,nan
master_comparison,skill,55,latent_fixed,exponential_deposits,0.05611273969790325,-0.001672859969073591,0.22593755222217102,4.814099877332204,nan
master_comparison,mechanism,55,latent_fixed,exponential_deposits,0.05502111600261695,-0.0027644836643598916,0.22593755222217102,4.814099877332204,nan
master_comparison,best_single,55,latent_fixed,exponential_deposits,0.023678772987411334,-0.03410682667956551,0.22593755222217102,4.814099877332204,nan
master_comparison,uniform,56,latent_fixed,exponential_deposits,0.05566918501745064,0.0,0.22055703227175855,4.857265743270755,nan
master_comparison,deposit,56,latent_fixed,exponential_deposits,0.06018626208105846,0.004517077063607822,0.22055703227175855,4.857265743270755,nan
master_comparison,skill,56,latent_fixed,exponential_deposits,0.05415821984991191,-0.001510965167538729,0.22055703227175855,4.857265743270755,nan
master_comparison,mechanism,56,latent_fixed,exponential_deposits,0.05757757801285759,0.0019083929954069462,0.22055703227175855,4.857265743270755,nan
master_comparison,best_single,56,latent_fixed,exponential_deposits,0.024548006953130273,-0.031121178064320368,0.22055703227175855,4.857265743270755,nan
master_comparison,uniform,57,latent_fixed,exponential_deposits,0.0542366591733273,0.0,0.2193884852929474,4.924953294021851,nan
master_comparison,deposit,57,latent_fixed,exponential_deposits,0.05625355002981609,0.00201689085648879,0.2193884852929474,4.924953294021851,nan
master_comparison,skill,57,latent_fixed,exponential_deposits,0.0528176809962225,-0.0014189781771048043,0.2193884852929474,4.924953294021851,nan
master_comparison,mechanism,57,latent_fixed,exponential_deposits,0.05382901405608634,-0.0004076451172409651,0.2193884852929474,4.924953294021851,nan
master_comparison,best_single,57,latent_fixed,exponential_deposits,0.023673065528781435,-0.030563593644545868,0.2193884852929474,4.924953294021851,nan
master_comparison,uniform,58,latent_fixed,exponential_deposits,0.05542241246699186,0.0,0.2213107987321498,4.831860689655141,nan
master_comparison,deposit,58,latent_fixed,exponential_deposits,0.05766181203490933,0.002239399567917473,0.2213107987321498,4.831860689655141,nan
master_comparison,skill,58,latent_fixed,exponential_deposits,0.05388683717207213,-0.0015355752949197318,0.2213107987321498,4.831860689655141,nan
master_comparison,mechanism,58,latent_fixed,exponential_deposits,0.055098438015095584,-0.00032397445189627505,0.2213107987321498,4.831860689655141,nan
master_comparison,best_single,58,latent_fixed,exponential_deposits,0.022977063152048206,-0.03244534931494365,0.2213107987321498,4.831860689655141,nan
master_comparison,uniform,59,latent_fixed,exponential_deposits,0.0554344629936317,0.0,0.23199550342722566,4.677859969852369,nan
master_comparison,deposit,59,latent_fixed,exponential_deposits,0.058204400593152884,0.002769937599521183,0.23199550342722566,4.677859969852369,nan
master_comparison,skill,59,latent_fixed,exponential_deposits,0.053928358800698656,-0.0015061041929330457,0.23199550342722566,4.677859969852369,nan
master_comparison,mechanism,59,latent_fixed,exponential_deposits,0.05554895956761669,0.00011449657398499014,0.23199550342722566,4.677859969852369,nan
master_comparison,best_single,59,latent_fixed,exponential_deposits,0.02188659479225956,-0.03354786820137214,0.23199550342722566,4.677859969852369,nan
master_comparison,uniform,60,latent_fixed,exponential_deposits,0.05448324173180802,0.0,0.23090344207053679,4.681180777470058,nan
master_comparison,deposit,60,latent_fixed,exponential_deposits,0.05806588723960503,0.003582645507797008,0.23090344207053679,4.681180777470058,nan
master_comparison,skill,60,latent_fixed,exponential_deposits,0.05306676346799998,-0.0014164782638080367,0.23090344207053679,4.681180777470058,nan
master_comparison,mechanism,60,latent_fixed,exponential_deposits,0.05560689518508786,0.0011236534532798395,0.23090344207053679,4.681180777470058,nan
master_comparison,best_single,60,latent_fixed,exponential_deposits,0.02382384150675572,-0.0306594002250523,0.23090344207053679,4.681180777470058,nan
master_comparison,uniform,61,latent_fixed,exponential_deposits,0.05581325847649241,0.0,0.23072777893990895,4.675141028050701,nan
master_comparison,deposit,61,latent_fixed,exponential_deposits,0.05877909270771688,0.0029658342312244707,0.23072777893990895,4.675141028050701,nan
master_comparison,skill,61,latent_fixed,exponential_deposits,0.05431345993205138,-0.0014997985444410306,0.23072777893990895,4.675141028050701,nan
master_comparison,mechanism,61,latent_fixed,exponential_deposits,0.056233083668150705,0.0004198251916582921,0.23072777893990895,4.675141028050701,nan
master_comparison,best_single,61,latent_fixed,exponential_deposits,0.02360536385355894,-0.03220789462293347,0.23072777893990895,4.675141028050701,nan
master_comparison,uniform,62,latent_fixed,exponential_deposits,0.05633377530867654,0.0,0.23496331638355003,4.610093435116977,nan
master_comparison,deposit,62,latent_fixed,exponential_deposits,0.05981350292927231,0.003479727620595771,0.23496331638355003,4.610093435116977,nan
master_comparison,skill,62,latent_fixed,exponential_deposits,0.05472622724408186,-0.0016075480645946771,0.23496331638355003,4.610093435116977,nan
master_comparison,mechanism,62,latent_fixed,exponential_deposits,0.05686399935153426,0.0005302240428577201,0.23496331638355003,4.610093435116977,nan
master_comparison,best_single,62,latent_fixed,exponential_deposits,0.021585839620893284,-0.034747935687783255,0.23496331638355003,4.610093435116977,nan
master_comparison,uniform,63,latent_fixed,exponential_deposits,0.05502141637478768,0.0,0.2323748266163626,4.658077342367795,nan
master_comparison,deposit,63,latent_fixed,exponential_deposits,0.05791543868133122,0.0028940223065435436,0.2323748266163626,4.658077342367795,nan
master_comparison,skill,63,latent_fixed,exponential_deposits,0.05341292663975934,-0.0016084897350283345,0.2323748266163626,4.658077342367795,nan
master_comparison,mechanism,63,latent_fixed,exponential_deposits,0.055029962375655855,8.546000868178694e-06,0.2323748266163626,4.658077342367795,nan
master_comparison,best_single,63,latent_fixed,exponential_deposits,0.022618927465430986,-0.032402488909356694,0.2323748266163626,4.658077342367795,nan
master_comparison,uniform,64,latent_fixed,exponential_deposits,0.05478190726071897,0.0,0.2283811851963103,4.704564201098544,nan
master_comparison,deposit,64,latent_fixed,exponential_deposits,0.05802994881141954,0.0032480415507005686,0.2283811851963103,4.704564201098544,nan
master_comparison,skill,64,latent_fixed,exponential_deposits,0.053404721010277906,-0.0013771862504410662,0.2283811851963103,4.704564201098544,nan
master_comparison,mechanism,64,latent_fixed,exponential_deposits,0.05570605633315247,0.0009241490724334958,0.2283811851963103,4.704564201098544,nan
master_comparison,best_single,64,latent_fixed,exponential_deposits,0.02414434918647798,-0.03063755807424099,0.2283811851963103,4.704564201098544,nan
master_comparison,uniform,65,latent_fixed,exponential_deposits,0.055847738610362005,0.0,0.22503421845006905,4.787063893994139,nan
master_comparison,deposit,65,latent_fixed,exponential_deposits,0.05842396619231991,0.002576227581957906,0.22503421845006905,4.787063893994139,nan
master_comparison,skill,65,latent_fixed,exponential_deposits,0.05429041799340197,-0.0015573206169600326,0.22503421845006905,4.787063893994139,nan
master_comparison,mechanism,65,latent_fixed,exponential_deposits,0.05569534799784529,-0.0001523906125167132,0.22503421845006905,4.787063893994139,nan
