k,mean_profit,se_profit,ci_low,ci_high,mean_n_eff,se_n_eff,n_seeds
1,13.011011272107027,1.0464467966818225,10.959975550610654,15.0620469936034,3.2148094448759656,0.09298383022936556,20
3,13.011011272107027,1.0464467966818198,10.95997555061066,15.062046993603394,5.05043557664477,0.15469146817736368,20
5,13.011011272107003,1.0464467966818216,10.959975550610633,15.062046993603374,5.974127156477834,0.21427620193303548,20
