forecaster,mae,corr_with_truth,mean_error
0,0.0705491774112326,0.9523,-0.005318
1,0.04302936250048692,0.9822,0.001049
2,0.08287567527940887,0.9382,-0.016650
3,0.08706592885648844,0.9274,-0.000888
