scenario,total_profit,mean_profit,final_gini,participation_rate
no_collusion,-8.049116928532385e-16,-5.366077952354923e-18,0.14875448144617284,0.5625
collusion,1.5501488981328748e-14,1.0334325987552498e-16,0.16794308343171951,0.6818181818181818
