k,mean_ratio,mean_delta,ci_low,ci_high
2,1.0,0.0,0.0,0.0
3,0.9999999999999997,1.0269562977782698e-16,-2.2971866541212333e-17,2.283631260968663e-16
4,1.0,0.0,0.0,0.0
5,0.9999999999999998,1.8457457784393228e-16,-1.6004486418759563e-16,5.291940198754603e-16
6,0.9999999999999997,7.771561172376095e-17,-2.7697838354699378e-17,1.8312906180222127e-16
7,1.0000000000000013,-2.3592239273284576e-17,-1.9128944829257392e-16,1.441049697460048e-16
8,1.0,0.0,0.0,0.0
