agent,t,wager,sigma,m_over_b,profit,cum_profit,missing
0,0,0.37062553883515836,1.0,1.0,-0.002548084650400073,-0.002548084650400073,0
0,1,0.0,0.9625539988634617,,0.0,-0.002548084650400073,1
0,2,0.0,0.9625539988634617,,0.0,-0.002548084650400073,1
0,3,1.0479332249925637,0.9625539988634617,0.9737877992044229,0.0,-0.002548084650400073,0
0,4,0.5493451285728835,0.9409515677803652,0.9586660974462556,0.0011892093642298374,-0.0013588752861702358,0
0,5,0.0,0.9301761276036327,,0.0,-0.0013588752861702358,1
0,6,0.752524629518899,0.9301761276036327,0.9511232893225428,-0.004017227047502292,-0.005376102333672528,0
0,7,0.0,0.9064326825934695,,0.0,-0.005376102333672528,1
0,8,1.225643083491315,0.9064326825934695,0.9345028778154288,-0.027897727693773744,-0.03327383002744627,0
0,9,1.5388620175865768,0.8417894058291366,0.8892525840803955,0.014495202828922471,-0.0187786271985238,0
0,10,0.3575121755631564,0.8495745222607844,0.8947021655825491,0.001686580203466126,-0.017092046995057675,0
0,11,0.6391688686698932,0.8582781181550054,0.9007946827085038,0.0037063150497786967,-0.013385731945278978,0
0,12,0.0,0.8593270264875429,,0.0,-0.013385731945278978,1
0,13,0.0,0.8593270264875429,,0.0,-0.013385731945278978,1
0,14,0.01816630576037279,0.8593270264875429,0.90152891854128,3.0555364456744116e-06,-0.013382676408833304,0
0,15,0.0,0.8635226653439273,,0.0,-0.013382676408833304,1
0,16,0.8696631391587089,0.8635226653439273,0.9044658657407492,-0.0020407708676286607,-0.015423447276461964,0
0,17,1.5169944072044466,0.8545347976638566,0.8981743583646995,0.00507887904735238,-0.010344568229109584,0
0,18,0.19584325188376264,0.8618862512313444,0.9033203758619411,-0.002541379113910641,-0.012885947343020225,0
0,19,0.18113411270164648,0.8359377602611407,0.8851564321827985,-0.0031660896341071665,-0.01605203697712739,0
0,20,2.9799441338272175,0.821510248252843,0.8750571737769901,-0.006161740720043607,-0.022213777697171,0
0,21,0.10037312792475409,0.8186713509762565,0.8730699456833795,0.0018043868257848344,-0.020409390871386164,0
0,22,0.1928576418579102,0.8286309404580932,0.8800416583206652,0.004589596796566536,-0.015819794074819628,0
0,23,0.4786474136723795,0.8415603049440709,0.8890922134608497,-0.0017440281758079879,-0.017563822250627616,0
0,24,0.12623773518060574,0.8443496124297911,0.8910447287008538,0.0029122629175088732,-0.014651559333118742,0
0,25,0.0,0.8504819036208693,,0.0,-0.014651559333118742,1
0,26,0.0,0.8504819036208693,,0.0,-0.014651559333118742,1
0,27,2.184021598912154,0.8504819036208693,0.8953373325346083,-0.0016621029021437472,-0.01631366223526249,0
0,28,0.0,0.8588032859112907,,0.0,-0.01631366223526249,1
0,29,0.35393670075882894,0.8588032859112907,0.9011623001379034,0.0010256734082628727,-0.015287988826999617,0
0,30,0.410234342050324,0.8586818292349058,0.901077280464434,-0.001054796962150828,-0.016342785789150445,0
0,31,2.5471485677517633,0.8628008867877648,0.9039606207514352,0.03431744176470364,0.017974655975553193,0
0,32,0.0,0.8658468189570202,,0.0,0.017974655975553193,1
0,33,0.7245003286278955,0.8658468189570202,0.906092773269914,0.0029618178337336154,0.02093647380928681,0
0,34,0.6848228725035473,0.866794395251901,0.9067560766763307,-0.0018578113562075504,0.019078662453079258,0
0,35,0.0,0.8678034403443439,,0.0,0.019078662453079258,1
0,36,2.048546589367817,0.8678034403443439,0.9074624082410406,0.008491066063667674,0.02756972851674693,0
0,37,0.16179591899169127,0.8684499479197453,0.9079149635438217,0.004664273914641109,0.03223400243138804,0
0,38,0.01713367551608018,0.869455632689905,0.9086189428829334,-0.00014069453069660148,0.03209330790069144,0
0,39,0.4108036766571084,0.867141233783164,0.9069988636482146,0.0,0.03209330790069144,0
