scenario,total_profit,mean_round_profit,final_gini,final_n_eff
benign_baseline,1.1796119636642288e-15,5.898059818321144e-18,0.14756758277253984,3.6370921449427125
bursty_kelly,-9.58955137519979e-15,-4.794775687599895e-17,0.13430380235880723,2.993585378772447
risk_averse_hedged,-5.981326545168031e-15,-2.990663272584015e-17,0.14452211780292917,3.471307877184964
lumpy_miscalibrated,1.0630385460785874e-14,5.315192730392937e-17,0.14175166297843075,4.485281001740239
edge_threshold,-2.42861286636753e-15,-1.214306433183765e-17,0.1581170083348201,5.329847111879624
sybil_split,-3.434752482434078e-15,-1.717376241217039e-17,0.766863197503097,11.859510073556786
