t,method,crps
347,uniform,0.015719
347,raja_history_free,0.0149
347,vitali_ogd_per_quantile,0.014274
347,mechanism,0.015527
348,uniform,0.015643
348,raja_history_free,0.014848
348,vitali_ogd_per_quantile,0.014312
348,mechanism,0.015464
349,uniform,0.015638
349,raja_history_free,0.014868
349,vitali_ogd_per_quantile,0.014346
349,mechanism,0.015473
350,uniform,0.01561
350,raja_history_free,0.014857
350,vitali_ogd_per_quantile,0.014355
350,mechanism,0.015455
351,uniform,0.015619
351,raja_history_free,0.014883
351,vitali_ogd_per_quantile,0.014381
351,mechanism,0.015473
352,uniform,0.015572
352,raja_history_free,0.01485
352,vitali_ogd_per_quantile,0.014306
352,mechanism,0.015431
353,uniform,0.01553
353,raja_history_free,0.014826
353,vitali_ogd_per_quantile,0.014297
353,mechanism,0.015393
354,uniform,0.015492
354,raja_history_free,0.014801
354,vitali_ogd_per_quantile,0.014293
354,mechanism,0.015359
355,uniform,0.015434
355,raja_history_free,0.014761
355,vitali_ogd_per_quantile,0.014274
355,mechanism,0.015307
356,uniform,0.015484
356,raja_history_free,0.014829
356,vitali_ogd_per_quantile,0.014331
356,mechanism,0.015363
357,uniform,0.01541
357,raja_history_free,0.014753
357,vitali_ogd_per_quantile,0.014301
357,mechanism,0.015289
358,uniform,0.015369
358,raja_history_free,0.014729
358,vitali_ogd_per_quantile,0.014299
358,mechanism,0.015251
359,uniform,0.015324
359,raja_history_free,0.0147
359,vitali_ogd_per_quantile,0.0143
359,mechanism,0.015211
360,uniform,0.015389
360,raja_history_free,0.014781
360,vitali_ogd_per_quantile,0.014407
360,mechanism,0.015281
361,uniform,0.015345
361,raja_history_free,0.014752
361,vitali_ogd_per_quantile,0.014397
361,mechanism,0.015241
362,uniform,0.01531
362,raja_history_free,0.014733
362,vitali_ogd_per_quantile,0.014441
362,mechanism,0.015212
363,uniform,0.015393
363,raja_history_free,0.01483
363,vitali_ogd_per_quantile,0.014533
363,mechanism,0.0153
364,uniform,0.015378
364,raja_history_free,0.014831
364,vitali_ogd_per_quantile,0.014576
364,mechanism,0.01529
365,uniform,0.015686
365,raja_history_free,0.015144
365,vitali_ogd_per_quantile,0.014858
365,mechanism,0.015602
366,uniform,0.016202
366,raja_history_free,0.015678
366,vitali_ogd_per_quantile,0.015238
366,mechanism,0.016119
367,uniform,0.016158
367,raja_history_free,0.015653
367,vitali_ogd_per_quantile,0.015396
367,mechanism,0.016093
368,uniform,0.016118
368,raja_history_free,0.015625
368,vitali_ogd_per_quantile,0.01538
368,mechanism,0.016057
369,uniform,0.016085
369,raja_history_free,0.015608
369,vitali_ogd_per_quantile,0.01539
369,mechanism,0.016028
370,uniform,0.016064
370,raja_history_free,0.015603
370,vitali_ogd_per_quantile,0.015397
370,mechanism,0.01601
371,uniform,0.01612
371,raja_history_free,0.015674
371,vitali_ogd_per_quantile,0.015484
371,mechanism,0.016068
372,uniform,0.01609
372,raja_history_free,0.015659
372,vitali_ogd_per_quantile,0.015497
372,mechanism,0.016042
373,uniform,0.016142
373,raja_history_free,0.015726
373,vitali_ogd_per_quantile,0.015575
373,mechanism,0.016099
374,uniform,0.016132
374,raja_history_free,0.015724
374,vitali_ogd_per_quantile,0.015552
374,mechanism,0.016092
375,uniform,0.016066
375,raja_history_free,0.015674
375,vitali_ogd_per_quantile,0.015497
