t,method,crps
420,uniform,0.05044
420,raja_history_free,0.049939
420,vitali_ogd_per_quantile,0.044445
420,mechanism,0.047206
421,uniform,0.050444
421,raja_history_free,0.049948
421,vitali_ogd_per_quantile,0.044469
421,mechanism,0.047224
422,uniform,0.05075
422,raja_history_free,0.050262
422,vitali_ogd_per_quantile,0.044829
422,mechanism,0.047544
423,uniform,0.050753
423,raja_history_free,0.050282
423,vitali_ogd_per_quantile,0.045001
423,mechanism,0.047583
424,uniform,0.051343
424,raja_history_free,0.050875
424,vitali_ogd_per_quantile,0.045573
424,mechanism,0.048182
425,uniform,0.051321
425,raja_history_free,0.050861
425,vitali_ogd_per_quantile,0.045647
425,mechanism,0.048167
426,uniform,0.051325
426,raja_history_free,0.050877
426,vitali_ogd_per_quantile,0.045709
426,mechanism,0.048179
427,uniform,0.051912
427,raja_history_free,0.051469
427,vitali_ogd_per_quantile,0.046296
427,mechanism,0.04877
428,uniform,0.051945
428,raja_history_free,0.051514
428,vitali_ogd_per_quantile,0.046472
428,mechanism,0.04882
429,uniform,0.051949
429,raja_history_free,0.051521
429,vitali_ogd_per_quantile,0.046514
429,mechanism,0.04883
430,uniform,0.051482
430,raja_history_free,0.051048
430,vitali_ogd_per_quantile,0.046022
430,mechanism,0.048358
431,uniform,0.051731
431,raja_history_free,0.051298
431,vitali_ogd_per_quantile,0.046218
431,mechanism,0.048611
432,uniform,0.051547
432,raja_history_free,0.051116
432,vitali_ogd_per_quantile,0.046
432,mechanism,0.048424
433,uniform,0.051498
433,raja_history_free,0.051063
433,vitali_ogd_per_quantile,0.046059
433,mechanism,0.048383
434,uniform,0.051725
434,raja_history_free,0.05129
434,vitali_ogd_per_quantile,0.046304
434,mechanism,0.04862
435,uniform,0.05173
435,raja_history_free,0.051302
435,vitali_ogd_per_quantile,0.046358
435,mechanism,0.048632
436,uniform,0.051766
436,raja_history_free,0.051345
436,vitali_ogd_per_quantile,0.046399
436,mechanism,0.048673
437,uniform,0.051863
437,raja_history_free,0.051452
437,vitali_ogd_per_quantile,0.046556
437,mechanism,0.048778
438,uniform,0.05206
438,raja_history_free,0.05165
438,vitali_ogd_per_quantile,0.046735
438,mechanism,0.04899
439,uniform,0.052278
439,raja_history_free,0.051861
439,vitali_ogd_per_quantile,0.046867
439,mechanism,0.049207
440,uniform,0.05251
440,raja_history_free,0.052085
440,vitali_ogd_per_quantile,0.047
440,mechanism,0.049407
441,uniform,0.052514
441,raja_history_free,0.052081
441,vitali_ogd_per_quantile,0.046899
441,mechanism,0.049367
442,uniform,0.052486
442,raja_history_free,0.052059
442,vitali_ogd_per_quantile,0.046942
442,mechanism,0.049355
443,uniform,0.052477
443,raja_history_free,0.052052
443,vitali_ogd_per_quantile,0.046966
443,mechanism,0.049346
444,uniform,0.052766
444,raja_history_free,0.052339
444,vitali_ogd_per_quantile,0.047232
444,mechanism,0.049629
445,uniform,0.052832
445,raja_history_free,0.052393
445,vitali_ogd_per_quantile,0.047191
445,mechanism,0.049667
446,uniform,0.052866
446,raja_history_free,0.052427
446,vitali_ogd_per_quantile,0.047145
446,mechanism,0.049672
447,uniform,0.052773
447,raja_history_free,0.052334
447,vitali_ogd_per_quantile,0.04697
447,mechanism,0.049552
448,uniform,0.052638
448,raja_history_free,0.052194
448,vitali_ogd_per_quantile,0.046812
448,mechanism,0.049388
449,uniform,0.052385
449,raja_history_free,0.05194
449,vitali_ogd_per_quantile,0.046576
449,mechanism,0.049123
450,uniform,0.05229
450,raja_history_free,0.051844
450,vitali_ogd_per_quantile,0.04653
450,mechanism,0.049037
451,uniform,0.052274
451,raja_history_free,0.051836
451,vitali_ogd_per_quantile,0.046554
451,mechanism,0.049047
452,uniform,0.052218
452,raja_history_free,0.051793
452,vitali_ogd_per_quantile,0.046532
452,mechanism,0.049014
453,uniform,0.052243
453,raja_history_free,0.051819
453,vitali_ogd_per_quantile,0.046551
453,mechanism,0.049053
454,uniform,0.052992
454,raja_history_free,0.052574
454,vitali_ogd_per_quantile,0.0473
454,mechanism,0.049813
455,uniform,0.053195
455,raja_history_free,0.052768
455,vitali_ogd_per_quantile,0.04739
455,mechanism,0.050001
456,uniform,0.053612
456,raja_history_free,0.053183
456,vitali_ogd_per_quantile,0.047684
456,mechanism,0.050385
457,uniform,0.053639
457,raja_history_free,0.053221
457,vitali_ogd_per_quantile,0.047758
457,mechanism,0.050418
458,uniform,0.053926
458,raja_history_free,0.053523
458,vitali_ogd_per_quantile,0.048146
458,mechanism,0.050742
459,uniform,0.054062
459,raja_history_free,0.053656
459,vitali_ogd_per_quantile,0.048222
459,mechanism,0.050862
460,uniform,0.054114
460,raja_history_free,0.053717
460,vitali_ogd_per_quantile,0.048312
460,mechanism,0.050925
461,uniform,0.054351
461,raja_history_free,0.05397
461,vitali_ogd_per_quantile,0.04865
461,mechanism,0.051187
462,uniform,0.054488
462,raja_history_free,0.054104
462,vitali_ogd_per_quantile,0.04876
462,mechanism,0.051329
463,uniform,0.054771
463,raja_history_free,0.05437
463,vitali_ogd_per_quantile,0.048978
463,mechanism,0.051594
464,uniform,0.054853
464,raja_history_free,0.05443
464,vitali_ogd_per_quantile,0.048982
464,mechanism,0.051649
465,uniform,0.054757
465,raja_history_free,0.054309
465,vitali_ogd_per_quantile,0.048857
465,mechanism,0.051531
466,uniform,0.054461
466,raja_history_free,0.053985
466,vitali_ogd_per_quantile,0.048569
466,mechanism,0.051246
467,uniform,0.05381
467,raja_history_free,0.053291
467,vitali_ogd_per_quantile,0.047969
467,mechanism,0.050719
468,uniform,0.053757
468,raja_history_free,0.053232
468,vitali_ogd_per_quantile,0.048018
468,mechanism,0.050766
469,uniform,0.053523
469,raja_history_free,0.052993
469,vitali_ogd_per_quantile,0.047937
469,mechanism,0.050646
470,uniform,0.053522
470,raja_history_free,0.052997
470,vitali_ogd_per_quantile,0.047984
470,mechanism,0.050676
471,uniform,0.053444
471,raja_history_free,0.052916
471,vitali_ogd_per_quantile,0.04784
471,mechanism,0.050551
472,uniform,0.053264
472,raja_history_free,0.052729
472,vitali_ogd_per_quantile,0.047671
472,mechanism,0.050377
473,uniform,0.053193
473,raja_history_free,0.052654
473,vitali_ogd_per_quantile,0.047704
473,mechanism,0.050329
474,uniform,0.053012
474,raja_history_free,0.05247
474,vitali_ogd_per_quantile,0.047597
474,mechanism,0.050183
475,uniform,0.052989
475,raja_history_free,0.052445
475,vitali_ogd_per_quantile,0.047625
475,mechanism,0.050196
476,uniform,0.052921
476,raja_history_free,0.052379
476,vitali_ogd_per_quantile,0.047592
476,mechanism,0.050153
477,uniform,0.052961
477,raja_history_free,0.052421
477,vitali_ogd_per_quantile,0.047622
477,mechanism,0.0502
478,uniform,0.052949
478,raja_history_free,0.052409
478,vitali_ogd_per_quantile,0.047609
478,mechanism,0.050188
479,uniform,0.052905
479,raja_history_free,0.052367
479,vitali_ogd_per_quantile,0.047568
479,mechanism,0.050144
480,uniform,0.052891
480,raja_history_free,0.052355
480,vitali_ogd_per_quantile,0.047565
480,mechanism,0.050132
481,uniform,0.052863
481,raja_history_free,0.052329
481,vitali_ogd_per_quantile,0.047551
481,mechanism,0.050106
482,uniform,0.052847
482,raja_history_free,0.052315
482,vitali_ogd_per_quantile,0.047542
482,mechanism,0.050092
483,uniform,0.052691
483,raja_history_free,0.052161
483,vitali_ogd_per_quantile,0.047384
483,mechanism,0.049937
484,uniform,0.052123
484,raja_history_free,0.051589
484,vitali_ogd_per_quantile,0.046816
484,mechanism,0.049366
485,uniform,0.052029
485,raja_history_free,0.051499
485,vitali_ogd_per_quantile,0.046794
485,mechanism,0.049283
486,uniform,0.052011
486,raja_history_free,0.051483
486,vitali_ogd_per_quantile,0.046759
486,mechanism,0.049265
487,uniform,0.051891
487,raja_history_free,0.051367
487,vitali_ogd_per_quantile,0.046663
487,mechanism,0.049151
488,uniform,0.051274
488,raja_history_free,0.050746
488,vitali_ogd_per_quantile,0.046041
488,mechanism,0.048537
489,uniform,0.050661
489,raja_history_free,0.050139
489,vitali_ogd_per_quantile,0.045513
489,mechanism,0.04796
490,uniform,0.050628
490,raja_history_free,0.050109
490,vitali_ogd_per_quantile,0.045467
490,mechanism,0.047938
491,uniform,0.0506
491,raja_history_free,0.050084
491,vitali_ogd_per_quantile,0.045446
491,mechanism,0.047919
492,uniform,0.050574
492,raja_history_free,0.050058
492,vitali_ogd_per_quantile,0.045411
492,mechanism,0.047896
493,uniform,0.050446
493,raja_history_free,0.049929
493,vitali_ogd_per_quantile,0.045266
493,mechanism,0.047767
494,uniform,0.050423
494,raja_history_free,0.049906
494,vitali_ogd_per_quantile,0.04523
494,mechanism,0.047738
495,uniform,0.050276
495,raja_history_free,0.049759
495,vitali_ogd_per_quantile,0.045053
495,mechanism,0.047589
496,uniform,0.050259
496,raja_history_free,0.049744
496,vitali_ogd_per_quantile,0.045046
496,mechanism,0.047572
497,uniform,0.050134
497,raja_history_free,0.04962
497,vitali_ogd_per_quantile,0.04494
497,mechanism,0.047447
498,uniform,0.05006
498,raja_history_free,0.049543
498,vitali_ogd_per_quantile,0.044819
498,mechanism,0.047368
499,uniform,0.0495
499,raja_history_free,0.04898
499,vitali_ogd_per_quantile,0.044231
499,mechanism,0.046807
500,uniform,0.049373
500,raja_history_free,0.04886
500,vitali_ogd_per_quantile,0.044182
500,mechanism,0.046676
501,uniform,0.049273
501,raja_history_free,0.048767
501,vitali_ogd_per_quantile,0.04414
501,mechanism,0.046597
502,uniform,0.048734
502,raja_history_free,0.048217
502,vitali_ogd_per_quantile,0.04348
502,mechanism,0.046009
503,uniform,0.04744
503,raja_history_free,0.046927
503,vitali_ogd_per_quantile,0.042211
503,mechanism,0.044701
504,uniform,0.046916
504,raja_history_free,0.04642
504,vitali_ogd_per_quantile,0.041879
504,mechanism,0.044212
505,uniform,0.046552
505,raja_history_free,0.046076
505,vitali_ogd_per_quantile,0.041765
505,mechanism,0.043978
506,uniform,0.04651
506,raja_history_free,0.046043
506,vitali_ogd_per_quantile,0.041765
506,mechanism,0.044
507,uniform,0.046435
507,raja_history_free,0.045959
507,vitali_ogd_per_quantile,0.04155
507,mechanism,0.043841
508,uniform,0.046154
508,raja_history_free,0.045671
508,vitali_ogd_per_quantile,0.041145
508,mechanism,0.043537
509,uniform,0.046151
509,raja_history_free,0.045657
509,vitali_ogd_per_quantile,0.041
509,mechanism,0.043501
510,uniform,0.045898
510,raja_history_free,0.045401
510,vitali_ogd_per_quantile,0.040775
510,mechanism,0.04324
511,uniform,0.045534
511,raja_history_free,0.045039
511,vitali_ogd_per_quantile,0.040438
511,mechanism,0.042896
512,uniform,0.046029
512,raja_history_free,0.04553
512,vitali_ogd_per_quantile,0.040866
512,mechanism,0.043337
513,uniform,0.046024
513,raja_history_free,0.045523
513,vitali_ogd_per_quantile,0.040839
513,mechanism,0.043338
514,uniform,0.045877
514,raja_history_free,0.045372
514,vitali_ogd_per_quantile,0.040627
514,mechanism,0.043193
515,uniform,0.045833
515,raja_history_free,0.045329
515,vitali_ogd_per_quantile,0.040581
515,mechanism,0.04314
516,uniform,0.045665
516,raja_history_free,0.045164
516,vitali_ogd_per_quantile,0.040483
516,mechanism,0.042977
517,uniform,0.04544
517,raja_history_free,0.044943
517,vitali_ogd_per_quantile,0.040308
517,mechanism,0.042763
518,uniform,0.045532
518,raja_history_free,0.045038
518,vitali_ogd_per_quantile,0.040444
518,mechanism,0.042864
519,uniform,0.04545
519,raja_history_free,0.044959
519,vitali_ogd_per_quantile,0.040393
519,mechanism,0.042786
520,uniform,0.045316
520,raja_history_free,0.044826
520,vitali_ogd_per_quantile,0.040265
520,mechanism,0.042657
521,uniform,0.045249
521,raja_history_free,0.044761
521,vitali_ogd_per_quantile,0.040223
521,mechanism,0.042598
522,uniform,0.045232
522,raja_history_free,0.044746
522,vitali_ogd_per_quantile,0.040225
522,mechanism,0.042584
523,uniform,0.045207
523,raja_history_free,0.044721
523,vitali_ogd_per_quantile,0.040203
523,mechanism,0.04256
524,uniform,0.045178
524,raja_history_free,0.044691
524,vitali_ogd_per_quantile,0.040179
524,mechanism,0.04253
525,uniform,0.045147
525,raja_history_free,0.04466
525,vitali_ogd_per_quantile,0.040157
525,mechanism,0.042499
526,uniform,0.045125
526,raja_history_free,0.044639
526,vitali_ogd_per_quantile,0.040142
526,mechanism,0.042479
527,uniform,0.045096
527,raja_history_free,0.044611
527,vitali_ogd_per_quantile,0.040123
527,mechanism,0.042452
528,uniform,0.044946
528,raja_history_free,0.044461
528,vitali_ogd_per_quantile,0.039995
528,mechanism,0.042304
529,uniform,0.044722
529,raja_history_free,0.044238
529,vitali_ogd_per_quantile,0.039807
529,mechanism,0.042086
530,uniform,0.044009
530,raja_history_free,0.04353
530,vitali_ogd_per_quantile,0.039161
530,mechanism,0.041408
531,uniform,0.043109
531,raja_history_free,0.04264
531,vitali_ogd_per_quantile,0.038416
531,mechanism,0.040622
532,uniform,0.042724
532,raja_history_free,0.042272
532,vitali_ogd_per_quantile,0.038272
532,mechanism,0.040421
533,uniform,0.042018
533,raja_history_free,0.04158
533,vitali_ogd_per_quantile,0.037764
533,mechanism,0.039927
534,uniform,0.041665
534,raja_history_free,0.041244
534,vitali_ogd_per_quantile,0.03764
534,mechanism,0.039763
535,uniform,0.042632
535,raja_history_free,0.042223
535,vitali_ogd_per_quantile,0.038758
535,mechanism,0.040884
536,uniform,0.043006
536,raja_history_free,0.042592
536,vitali_ogd_per_quantile,0.038902
536,mechanism,0.041292
537,uniform,0.042939
537,raja_history_free,0.042519
537,vitali_ogd_per_quantile,0.038797
537,mechanism,0.041178
538,uniform,0.043229
538,raja_history_free,0.042798
538,vitali_ogd_per_quantile,0.038887
538,mechanism,0.041334
539,uniform,0.043433
539,raja_history_free,0.043015
539,vitali_ogd_per_quantile,0.039262
539,mechanism,0.04168
540,uniform,0.044141
540,raja_history_free,0.043727
540,vitali_ogd_per_quantile,0.039967
540,mechanism,0.042403
541,uniform,0.044613
541,raja_history_free,0.044191
541,vitali_ogd_per_quantile,0.04026
541,mechanism,0.042861
542,uniform,0.044733
542,raja_history_free,0.044296
542,vitali_ogd_per_quantile,0.040163
542,mechanism,0.042888
543,uniform,0.044681
543,raja_history_free,0.044236
543,vitali_ogd_per_quantile,0.04004
543,mechanism,0.042803
544,uniform,0.04467
544,raja_history_free,0.044223
544,vitali_ogd_per_quantile,0.04
544,mechanism,0.042779
545,uniform,0.044624
545,raja_history_free,0.044177
545,vitali_ogd_per_quantile,0.039959
545,mechanism,0.04273
546,uniform,0.044541
546,raja_history_free,0.044096
546,vitali_ogd_per_quantile,0.039904
546,mechanism,0.042649
547,uniform,0.044355
547,raja_history_free,0.04391
547,vitali_ogd_per_quantile,0.039736
547,mechanism,0.042464
548,uniform,0.044302
548,raja_history_free,0.043859
548,vitali_ogd_per_quantile,0.039695
548,mechanism,0.042412
549,uniform,0.044089
549,raja_history_free,0.04364
549,vitali_ogd_per_quantile,0.039418
549,mechanism,0.042189
550,uniform,0.043859
550,raja_history_free,0.043411
550,vitali_ogd_per_quantile,0.039204
550,mechanism,0.041963
551,uniform,0.043526
551,raja_history_free,0.04308
551,vitali_ogd_per_quantile,0.038922
551,mechanism,0.041657
552,uniform,0.042921
552,raja_history_free,0.042483
552,vitali_ogd_per_quantile,0.038417
552,mechanism,0.041122
553,uniform,0.04174
553,raja_history_free,0.041316
553,vitali_ogd_per_quantile,0.037387
553,mechanism,0.04009
554,uniform,0.041255
554,raja_history_free,0.040854
554,vitali_ogd_per_quantile,0.03719
554,mechanism,0.03981
555,uniform,0.041127
555,raja_history_free,0.040708
555,vitali_ogd_per_quantile,0.036821
555,mechanism,0.039488
556,uniform,0.040861
556,raja_history_free,0.040441
556,vitali_ogd_per_quantile,0.036545
556,mechanism,0.039223
557,uniform,0.040837
557,raja_history_free,0.04042
557,vitali_ogd_per_quantile,0.036536
557,mechanism,0.039203
558,uniform,0.040098
558,raja_history_free,0.039674
558,vitali_ogd_per_quantile,0.035751
558,mechanism,0.038443
559,uniform,0.039806
559,raja_history_free,0.039394
559,vitali_ogd_per_quantile,0.035603
559,mechanism,0.038147
560,uniform,0.03872
560,raja_history_free,0.038318
560,vitali_ogd_per_quantile,0.034627
560,mechanism,0.037117
561,uniform,0.037773
561,raja_history_free,0.037398
561,vitali_ogd_per_quantile,0.033963
561,mechanism,0.036356
562,uniform,0.037302
562,raja_history_free,0.036959
562,vitali_ogd_per_quantile,0.03383
562,mechanism,0.036143
563,uniform,0.037038
563,raja_history_free,0.036716
563,vitali_ogd_per_quantile,0.033761
563,mechanism,0.036044
564,uniform,0.036982
564,raja_history_free,0.036677
564,vitali_ogd_per_quantile,0.033892
564,mechanism,0.036117
565,uniform,0.037039
565,raja_history_free,0.036749
565,vitali_ogd_per_quantile,0.03415
565,mechanism,0.036244
566,uniform,0.036849
566,raja_history_free,0.036566
566,vitali_ogd_per_quantile,0.034045
566,mechanism,0.036098
567,uniform,0.036765
567,raja_history_free,0.036487
