lam,n_benign,mean_profit,se_profit,ci_low,ci_high,n_seeds
0.0,4,2.4978830862408854,0.46060292297243327,1.5951013572149162,3.400664815266855,10
0.0,8,6.126387392178798,0.8243948037948281,4.510573576740935,7.742201207616661,10
0.0,16,13.514341834093438,1.219776311713066,11.123580263135828,15.905103405051047,10
0.0,32,23.488544527360414,1.7061441459812792,20.144502001237107,26.83258705348372,10
0.5,4,4.887873391257909,0.9341311398803033,3.0569763570925144,6.718770425423303,10
0.5,8,10.463344403974162,1.0938282309820946,8.319441071249257,12.607247736699067,10
0.5,16,22.489643808590206,2.0490716100399777,18.47346345291185,26.50582416426856,10
0.5,32,38.27433103696664,2.6325579372261325,33.11451748000342,43.434144593929865,10
1.0,4,7.198284673096519,1.4212028204710683,4.412727144973225,9.983842201219813,10
1.0,8,14.098396797121032,1.6839342531558867,10.797885660935494,17.39890793330657,10
1.0,16,28.673807127099337,2.9874196568775746,22.81846459961929,34.529149654579385,10
1.0,32,49.78888047533601,3.5198083038168098,42.89005619985506,56.687704750816955,10
