variant,mean_crps,delta_crps_vs_full,mean_HHI,mean_N_eff,final_gini
Full,0.03954483537831902,0.0,0.2880307789728453,3.722156358324649,0.4094557774961449
A-,0.0394842456287616,-6.0589749557422856e-05,0.31196310761304724,3.459917588957624,0.4746023451617758
B-,0.04201288195706686,0.002468046578747836,0.2198251775132774,4.806010539386136,nan
C-,0.03961393059214935,6.909521383032663e-05,0.2915222972832653,3.7039484461889907,0.46473551909112326
D-,0.030156142924333905,-0.009388692453985117,0.2880307789728453,3.722156358324649,0.4094557774961449
E-,0.040586501152393484,0.0010416657740744614,0.22174218675431545,4.7643006741452325,0.0
