forecaster,w_target_dir,w_learned_dir,w_learned_raw,abs_error_dir
0,0.215876,0.234800,0.234143,0.018923
1,0.632997,0.606159,0.604464,0.026838
2,0.151127,0.159041,0.158596,0.007914
