scenario,mean_coalition_profit,se_coalition_profit,ci_low,ci_high,n_seeds
baseline,0.0,0.0,0.0,0.0,10
collusion_only,24.11547446863451,3.012169970750947,18.211621325962653,30.019327611306366,10
informed_collusion,33.84286490822643,2.4092139698477317,29.120805527324876,38.56492428912799,10
