scenario,seed,insider_profit,mean_insider_score,final_gini,insider_rounds
no_insider,0,0.0,0.0,0.2872889653890307,0
insider_lagged,0,40.87854394003117,0.8553858765766442,0.8162234832568749,1000
insider_leaked,0,50.07450523553018,0.9921344419631755,0.8834989776416247,1000
no_insider,1,0.0,0.0,0.37361962186801445,0
insider_lagged,1,44.90216310614793,0.8516999113870211,0.8020845004748127,1000
insider_leaked,1,55.57671907933953,0.9920462828775415,0.8846373270469668,1000
no_insider,2,0.0,0.0,0.5980662368421735,0
insider_lagged,2,56.24772977873218,0.8461880305585737,0.8799170446296726,1000
insider_leaked,2,57.8777500970577,0.99217947474222,0.8886453326385758,1000
no_insider,3,0.0,0.0,0.5729971842659354,0
insider_lagged,3,70.29514834964992,0.8494707212239474,0.8392950568210271,1000
insider_leaked,3,79.45399713364586,0.9920921205309587,0.8865539367914067,1000
no_insider,4,0.0,0.0,0.2665171533801877,0
insider_lagged,4,61.892981075489615,0.8485987121449848,0.7858887045285924,1000
insider_leaked,4,75.92070325893232,0.9926549115192301,0.880021812140512,1000
no_insider,5,0.0,0.0,0.34478172353081343,0
insider_lagged,5,64.7607071556931,0.853868991360472,0.8412439467101713,1000
insider_leaked,5,73.17258866800199,0.9924358032672693,0.8854854059655318,1000
no_insider,6,0.0,0.0,0.3573661191378875,0
insider_lagged,6,50.2972629997945,0.8534832923590312,0.8774164967437158,1000
insider_leaked,6,52.09767900804265,0.9923970995784941,0.8888458613244546,1000
no_insider,7,0.0,0.0,0.26892774824354976,0
insider_lagged,7,51.835659353451405,0.860570482174553,0.8686419857353845,1000
insider_leaked,7,55.23230090830864,0.9922175549340378,0.8886572610801843,1000
no_insider,8,0.0,0.0,0.4577154674458845,0
insider_lagged,8,61.66148408797589,0.8469817079755322,0.8586987505289003,1000
insider_leaked,8,68.39373977390993,0.9923837122869992,0.8842093364909799,1000
no_insider,9,0.0,0.0,0.47908988697626437,0
insider_lagged,9,42.50946086721728,0.8523709959456642,0.8571064184941836,1000
insider_leaked,9,46.52553009399013,0.9921609768680274,0.8879766041378911,1000
no_insider,10,0.0,0.0,0.3298929775902248,0
insider_lagged,10,52.651597279321074,0.8537432952494108,0.8433643281863924,1000
insider_leaked,10,57.84438988868658,0.9922774906084378,0.8878809388313157,1000
no_insider,11,0.0,0.0,0.3206242662318547,0
insider_lagged,11,51.97950073902762,0.8511874721340623,0.8260530670772477,1000
insider_leaked,11,59.399928303883854,0.9923216356843805,0.8825128320533356,1000
no_insider,12,0.0,0.0,0.4404368061972162,0
insider_lagged,12,54.837743595727375,0.8515559498133413,0.878606489674286,1000
insider_leaked,12,56.610612402047785,0.9924503048368407,0.8884484687445612,1000
no_insider,13,0.0,0.0,0.40245575809495115,0
insider_lagged,13,78.81686027077956,0.8489860386264051,0.8000097904394516,1000
insider_leaked,13,94.40840016103569,0.9918632026122903,0.8795211152155743,1000
no_insider,14,0.0,0.0,0.42240504733105766,0
insider_lagged,14,60.53593133192959,0.8525806358818798,0.8787061535122395,1000
insider_leaked,14,62.60442100417944,0.9920474489895063,0.8888433197542408,1000
no_insider,15,0.0,0.0,0.2597501682774474,0
insider_lagged,15,65.56020519681655,0.8525774457275644,0.8260235718315019,1000
insider_leaked,15,76.8210871613503,0.9919617278445442,0.8876614448782445,1000
no_insider,16,0.0,0.0,0.4777182606738031,0
insider_lagged,16,67.74637575279792,0.8544819540017455,0.8750821810730056,1000
insider_leaked,16,70.8071427919733,0.9921032416400712,0.888693100117255,1000
no_insider,17,0.0,0.0,0.3876788260947149,0
insider_lagged,17,58.40928968303338,0.8527959300237586,0.8055737440094187,1000
insider_leaked,17,70.59631061185496,0.9921317019152005,0.874510067375083,1000
no_insider,18,0.0,0.0,0.4655173717620837,0
insider_lagged,18,49.37402628877468,0.8491193559840553,0.8416254281962713,1000
insider_leaked,18,57.15184014973792,0.9923991008388686,0.8857078437024001,1000
no_insider,19,0.0,0.0,0.5214617087309946,0
insider_lagged,19,57.67520667890757,0.8535170593665761,0.8834074819199508,1000
insider_leaked,19,59.11752010196504,0.9921443984569145,0.8886183102274778,1000
