forecaster,tau_true,mean_loss_tail,mean_sigma_tail
0,0.15,0.019845466401783907,0.9655988181506391
1,0.22,0.03154923889243187,0.9463683768590702
2,0.32,0.05097911247311462,0.912755323410675
3,0.46,0.058342738937310956,0.9012390687150064
4,0.68,0.08954782704095095,0.8500309387439091
5,1.0,0.10657113138159267,0.8322909724929662
