forecaster,tau_true,mean_loss_tail,mean_sigma_tail
0,0.15,0.029144469963431854,0.902274481829536
1,0.22,0.04385395763241025,0.8572739896934048
2,0.32,0.07305970526491938,0.7706469442168955
3,0.46,0.0811339730133347,0.7492932573350107
4,0.68,0.13200539171182124,0.6232187011792331
5,1.0,0.15724243075351707,0.5899145803780254
