staking,total_profit,mean_deposit,final_gini
fixed_fraction,-8.049116928532385e-16,3.6417860317025323,0.14875448144617284
kelly_like,7.979727989493313e-16,2.698817605171436,0.14535386552272955
house_money,-3.58046925441613e-15,4.030826121857726,0.14961331817257742
lumpy_tier,-2.3592239273284576e-15,3.41,0.1502572816502218
break_even,4.274358644806853e-15,4.639964795915215,0.14680467153233945
volatility_sensitive,3.635980405647388e-15,3.6760739299037883,0.14642874906935027
