scenario,seed,coalition_profit,final_gini
baseline,0,0.0,0.2872889653890307
collusion_only,0,20.688489705902104,0.46653767478157404
informed_collusion,0,26.89244738561753,0.5285054868010797
baseline,1,0.0,0.37361962186801445
collusion_only,1,11.708850918004558,0.34121519775777415
informed_collusion,1,25.345925727980806,0.45629723163859465
baseline,2,0.0,0.5980662368421735
collusion_only,2,23.51843424761251,0.5170314733807622
informed_collusion,2,36.571949262377856,0.5866983520079657
baseline,3,0.0,0.5729971842659354
collusion_only,3,25.46427956619635,0.5020441949366935
informed_collusion,3,37.651496707759904,0.5115566508798489
baseline,4,0.0,0.2665171533801877
collusion_only,4,27.92918168497301,0.3669148521741282
informed_collusion,4,37.01938127495246,0.4442726407036301
baseline,5,0.0,0.34478172353081343
collusion_only,5,18.51346312258463,0.325872325452168
informed_collusion,5,31.420854680712115,0.4221420092012736
baseline,6,0.0,0.3573661191378875
collusion_only,6,25.054393481987763,0.5012211248434403
informed_collusion,6,33.832440672018684,0.5794273952669496
baseline,7,0.0,0.26892774824354976
collusion_only,7,18.260445052394854,0.39125338755202294
informed_collusion,7,29.959341821947312,0.5112909574455726
baseline,8,0.0,0.4577154674458845
collusion_only,8,47.860266747403315,0.5951655786494114
informed_collusion,8,51.62112398750347,0.6230045361367854
baseline,9,0.0,0.47908988697626437
collusion_only,9,22.15694015928602,0.5179643223079035
informed_collusion,9,28.11368756139415,0.575401757725781
